id,district,name,address,gov_url,facilities,photo_path,status
196,屯門,青田遊樂場,屯門良運街,https://www.map.gov.hk/gm/gmid/i5NeySzqE7?lg=tc,"共融遊樂設施,長者健身園地,硬地球場, 手球場, 門球場, 緩跑徑/健身徑",/facilities/pi-basketball.png,Active
197,屯門,湖景路花園,屯門湖景路,,公園,/facilities/pi-basketball.png,Active
198,屯門,黃金泳灘,屯門青山公路18咪半,,健身站,/facilities/pi-basketball.png,Active
189,屯門,舊咖啡灣休憩處,屯門舊咖啡灣,,寵物共享公園,/facilities/md-pets.jpeg,Active
192,屯門,杯渡路(南)休憩花園,屯門天后路,,"寵物共享公園,健身園地",/facilities/md-pets.jpeg,Active
193,屯門,新安休憩處,屯門新安街,,寵物共享公園,/facilities/md-pets.jpeg,Active
194,屯門,青碧休憩處,屯門青碧街,,寵物共享公園,/facilities/md-pets.jpeg,Active
237,北區,粉嶺圍遊樂場,粉嶺粉嶺圍村,,"健身園地,長者健身園地",/facilities/md-sports-gymnastics.jpeg,Active
240,北區,吉祥街花園,上水吉祥街29號,,"健身園地,長者健身園地",/facilities/md-sports-gymnastics.jpeg,Active
259,北區,維翰路花園,上水維翰路與百和路交界,,"健身園地,長者健身園地",/facilities/md-sports-gymnastics.jpeg,Active
226,北區,北區公園,上水馬會道,,"公園, 健身園地,長者健身園地,硬地球場, 籃球場, 排球場, 手球場, 緩跑徑/健身徑",/facilities/pi-basketball.png,Active
228,北區,大頭嶺休憩處,新界上水寶石湖路大頭嶺村,,"羽毛球場,兒童遊樂場",/facilities/pi-basketball.png,Active
229,北區,保榮路遊樂場,新界上水保榮路,https://www.map.gov.hk/gm/gmid/K39HXIj5fS?lg=tc,"共融遊樂設施,兒童遊樂場,長者健身園地,狗公園/寵物公園,硬地球場",/facilities/pi-basketball.png,Active
231,北區,一鳴路公園,粉嶺一鳴路與百和路交界,https://www.map.gov.hk/gm/gmid/3YLT6VjX4m?lg=tc,"共融遊樂設施,長者健身園地,健身園地,狗公園/寵物公園,健體園灺,緩跑徑/健身徑,兒童遊樂場",/facilities/pi-basketball.png,Active
233,北區,北區運動場,新界上水天平路26號,https://www.map.gov.hk/gm/gmid/TgNMkCyKxY?lg=tc ,"共融遊樂設施,籃球場,草地球場,運動場,網球場,排球場,兒童遊樂場",/facilities/pi-basketball.png,Active
266,西貢,香港單車館公園,將軍澳寶康路105-107號,,"中央草坪,兒童遊樂場,長者健體園地,健身站,露天劇場,人工湖,模型船池,極限運動場,運動攀登牆,緩跑徑",/facilities/pi-basketball.png,Active
267,西貢,寶康公園,將軍澳運隆路10號,https://www.map.gov.hk/gm/gmid/wxKnsizorm?lg=tc ,"公園, 共融遊樂設施,長者健身園地,硬地球場, 手球場, 籃球場, 排球場, 門球場, 滾軸溜冰場, 緩跑徑/健身徑",/facilities/pi-basketball.png,Active
268,西貢,寶琳休憩處,西貢將軍澳寶琳北路,,"休憩處,狗公園/寵物公園",/facilities/pi-basketball.png,Active
269,西貢,寶翠公園,新界將軍澳毓雅里16號,,"公園, 長者健身園地, 草地球場, 硬地球場, 網球場, 手球場, 曲棍球場, 緩跑徑/健身徑",/facilities/pi-basketball.png,Active
270,西貢,常寧遊樂場,將軍澳常寧路,https://map.gov.hk/gm/gmid/KeTJz4QvK9?lg=tc,"共融遊樂設施,長者健身園地, 門球場",/facilities/pi-basketball.png,Active
230,北區,粉錦公路以東的公園,上水粉錦公路650號,,"寵物共享公園,步行徑,5人硬地足球場",/facilities/md-pets.jpeg,Active
232,北區,天平路花園,上水天平路,,寵物共享公園,/facilities/md-pets.jpeg,Active
234,北區,禾徑山路花園,新界粉嶺沙頭角路禾徑山路,,寵物共享公園,/facilities/md-pets.jpeg,Active
265,西貢,坑口花園,新界將軍澳坑口田洲路,,寵物共享公園,/facilities/md-pets.jpeg,Active
271,西貢,調景嶺體育館,將軍澳翠嶺路2號,https://www.map.gov.hk/gm/gmid/4w24kA9ZGA?lg=tc,"共融遊樂設施,健身園地,活動室,羽毛球場,籃球場,兒童遊戲室,健身室,室內緩跑徑,運動攀登設施,乒乓球檯,排球場",/facilities/pi-basketball.png,Active
273,西貢,太平村遊樂場,西貢菠蘿輋路,,"籃球場,長者健身園地",/facilities/pi-basketball.png,Active
274,西貢,將軍澳海濱公園,西貢將軍澳唐俊街,,狗公園/寵物公園,/facilities/pi-basketball.png,Active
275,西貢,環保大道寵物公園,西貢將軍澳環保大道,,狗公園/寵物公園,/facilities/pi-basketball.png,Active
276,西貢,培成花園,將軍澳坑口培成路38號,,健身園地,/facilities/md-sports-gymnastics.jpeg,Active
309,沙田,車公廟路遊樂場,大圍車公廟路,,"健身園地,長者健身園地",/facilities/md-sports-gymnastics.jpeg,Active
310,沙田,顯田遊樂場,大圍車公廟路,,"健身園地,長者健身園地",/facilities/md-sports-gymnastics.jpeg,Active
311,沙田,馬鈴徑休憩花園,九肚山駿發山莊馬鈴徑,,健身園地,/facilities/md-sports-gymnastics.jpeg,Active
312,沙田,鞍祿街公園,馬鞍山鞍祿街,,"健身園地,長者健身園地",/facilities/md-sports-gymnastics.jpeg,Active
313,沙田,小瀝源村休憩處,沙田小瀝源廣善街,,"健身園地,長者健身園地",/facilities/md-sports-gymnastics.jpeg,Active
299,沙田,馬鞍山公園,馬鞍山鞍駿街12號,https://www.map.gov.hk/gm/gmid/sXOgLTlfAB?lg=tc ,"公園, 共融遊樂設施,長者健身園地,健身園地,緩跑徑/健身徑",/facilities/pi-basketball.png,Active
300,沙田,馬鞍山海濱長廊,馬鞍山寧泰路,,"公園,長者健身園地",/facilities/pi-basketball.png,Active
303,沙田,安睦街花園,沙田安睦街,,公園,/facilities/pi-basketball.png,Active
304,沙田,源禾遊樂場,沙田禾輋邨源禾路16號,,健身站,/facilities/pi-basketball.png,Active
305,沙田,沙田公園,沙田源禾路2號,https://map.gov.hk/gm/gmid/DMXvsIKYYc?lg=tc ,"公園,共融遊樂設施,健身園地,長者健身園地,露天劇場",/facilities/pi-basketball.png,Active
272,西貢,西貢海濱公園,西貢惠民路,https://www.map.gov.hk/gm/gmid/FYLkrNwvlv?lg=tc ,"寵物共享公園,共融遊樂設施,長者健身園地",/facilities/md-pets.jpeg,Active
301,沙田,馬鞍山西沙路花園,馬鞍山西沙路,,寵物共享公園,/facilities/md-pets.jpeg,Active
302,沙田,美田路休憩處,大圍美田路,,寵物共享公園,/facilities/md-pets.jpeg,Active
306,沙田,城門河第一海濱花園,沙田車公廟路,,寵物共享公園,/facilities/md-pets.jpeg,Active
307,沙田,城門河第二海濱花園,沙田大涌橋路,,寵物共享公園,/facilities/md-pets.jpeg,Active
308,沙田,城門河第三海濱花園,沙田第一城大涌橋路,,"寵物共享公園,健身園地",/facilities/md-pets.jpeg,Active
346,東區,愛秩序街遊樂場,筲箕灣筲箕灣道,,"健身園地,長者健身園地",/facilities/md-sports-gymnastics.jpeg,Active
347,東區,歌連臣角道花園,小西灣歌連臣角道,,"健身園地,長者健身園地",/facilities/md-sports-gymnastics.jpeg,Active
348,東區,雲景道配水庫遊樂場,北角雲景道,,"健身園地,長者健身園地",/facilities/md-sports-gymnastics.jpeg,Active
349,東區,康愉街休憩處,鰂魚涌康愉街,,健身園地,/facilities/md-sports-gymnastics.jpeg,Active
350,東區,北角海濱花園 (一期),北角琴行街,,健身園地,/facilities/md-sports-gymnastics.jpeg,Active
351,東區,百福道遊樂場,北角百福道,,健身園地,/facilities/md-sports-gymnastics.jpeg,Active
352,東區,西灣河海濱公園,西灣河太康街,,健身園地,/facilities/md-sports-gymnastics.jpeg,Active
353,東區,筲箕灣配水庫遊樂場,筲箕灣耀興道,,"健身園地,長者健身園地",/facilities/md-sports-gymnastics.jpeg,Active
354,東區,小西灣海濱花園,小西灣小西灣道20-26號,,"健身園地,長者健身園地",/facilities/md-sports-gymnastics.jpeg,Active
355,東區,小西灣一號休憩處,小西灣小西灣道,,"健身園地,長者健身園地",/facilities/md-sports-gymnastics.jpeg,Active
